path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/l2_blocks.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_1_4_1/utils/l2_blocks.rs,0,498,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/mod.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_virtual_blocks/tracers/mod.rs,0,20,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/nonce_holder.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/nonce_holder.rs,0,181,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/require_eip712.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/require_eip712.rs,0,163,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/rollbacks.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/rollbacks.rs,0,259,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/simple_execution.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/simple_execution.rs,0,77,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/tester/inner_state.rs,,D,C,deleted-upstream-file,gone,0,127,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/tester/mod.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_virtual_blocks/tracers/mod.rs,0,7,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/tester/transaction_test_info.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/tester/transaction_test_info.rs,0,217,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/tester/vm_tester.rs,,D,C,deleted-upstream-file,gone,0,300,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/tracing_execution_error.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/tracing_execution_error.rs,0,53,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/upgrade.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/upgrade.rs,0,342,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tests/utils.rs,,D,C,deleted-upstream-file,moved?:core/node/commitment_generator/src/utils.rs,0,106,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tracers/refunds.rs,,M,B,wiring,identical-to-v29,3,3,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/tracers/utils.rs,,M,B,wiring,identical-to-v29,1,2,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/types/internals/transaction_data.rs,,M,B,feature,identical-to-v29,14,12,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/types/internals/vm_state.rs,,M,B,feature,present,5,13,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/types/l1_batch.rs,,M,B,wiring,identical-to-v29,1,2,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/utils/fee.rs,,M,B,wiring,identical-to-v29,6,4,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/utils/l2_blocks.rs,,M,B,wiring,identical-to-v29,2,2,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/utils/overhead.rs,,M,B,wiring,present,1,2,multivm
core/lib/multivm/src/versions/vm_refunds_enhancement/vm.rs,,M,B,feature,present,65,51,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/bootloader_state/l2_block.rs,,M,B,wiring,identical-to-v29,2,3,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/bootloader_state/state.rs,,M,B,wiring,present,3,3,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/bootloader_state/utils.rs,,M,B,wiring,present,4,6,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/implementation/bytecode.rs,,M,B,feature,identical-to-v29,22,19,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/implementation/execution.rs,,M,B,wiring,identical-to-v29,8,4,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/implementation/gas.rs,,M,B,wiring,identical-to-v29,1,1,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/implementation/statistics.rs,,M,B,wiring,present,1,1,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/old_vm/events.rs,,M,B,wiring,identical-to-v29,3,4,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/old_vm/history_recorder.rs,,M,B,wiring,identical-to-v29,1,2,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/old_vm/oracles/decommitter.rs,,M,B,wiring,identical-to-v29,3,3,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/old_vm/oracles/storage.rs,,M,B,wiring,present,2,3,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/bootloader.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_latest/tests/bootloader.rs,0,53,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/bytecode_publishing.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/bytecode_publishing.rs,0,37,multivm
